occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
116479263094,,cycles,25075802289,100.00,,
207291580313,,instructions,25075802289,100.00,1.78,insn per cycle
613203623,,branch-misses,25075802289,100.00,,
52039195,,LLC-load-misses,25075802289,100.00,,
148131660,,LLC-store-misses,25075802289,100.00,,
25101785151,ns,duration_time,25101785151,100.00,,
119747445887,,cycles,25778567577,100.00,,
207753485359,,instructions,25778567577,100.00,1.73,insn per cycle
610473792,,branch-misses,25778567577,100.00,,
53130827,,LLC-load-misses,25778567577,100.00,,
148190666,,LLC-store-misses,25778567577,100.00,,
25779517920,ns,duration_time,25779517920,100.00,,
119952041615,,cycles,25812373623,100.00,,
207834344088,,instructions,25812373623,100.00,1.73,insn per cycle
609250609,,branch-misses,25812373623,100.00,,
53567852,,LLC-load-misses,25812373623,100.00,,
148183288,,LLC-store-misses,25812373623,100.00,,
25823874813,ns,duration_time,25823874813,100.00,,
120973845799,,cycles,26038466683,100.00,,
207916384595,,instructions,26038466683,100.00,1.72,insn per cycle
610723038,,branch-misses,26038466683,100.00,,
52564785,,LLC-load-misses,26038466683,100.00,,
148589792,,LLC-store-misses,26038466683,100.00,,
26055948753,ns,duration_time,26055948753,100.00,,
116691716547,,cycles,25114821862,100.00,,
207289539415,,instructions,25114821862,100.00,1.78,insn per cycle
611171429,,branch-misses,25114821862,100.00,,
51992122,,LLC-load-misses,25114821862,100.00,,
147759638,,LLC-store-misses,25114821862,100.00,,
25123360104,ns,duration_time,25123360104,100.00,,
