occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
44178642714,,cycles,9417507190,100.00,,
65467352886,,instructions,9417507190,100.00,1.48,insn per cycle
1137520279,,branch-misses,9417507190,100.00,,
611185,,LLC-load-misses,9417507190,100.00,,
9352,,LLC-store-misses,9417507190,100.00,,
9418328554,ns,duration_time,9418328554,100.00,,
44098553678,,cycles,9398871635,100.00,,
65467200543,,instructions,9398871635,100.00,1.48,insn per cycle
1136986857,,branch-misses,9398871635,100.00,,
630033,,LLC-load-misses,9398871635,100.00,,
10416,,LLC-store-misses,9398871635,100.00,,
9399335887,ns,duration_time,9399335887,100.00,,
44062217824,,cycles,9390644433,100.00,,
65468225476,,instructions,9390644433,100.00,1.49,insn per cycle
1136250704,,branch-misses,9390644433,100.00,,
460317,,LLC-load-misses,9390644433,100.00,,
9883,,LLC-store-misses,9390644433,100.00,,
9391202720,ns,duration_time,9391202720,100.00,,
