occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
53976463517,,cycles,11508150940,100.00,,
88387747139,,instructions,11508150940,100.00,1.64,insn per cycle
1195627313,,branch-misses,11508150940,100.00,,
862981,,LLC-load-misses,11508150940,100.00,,
13834,,LLC-store-misses,11508150940,100.00,,
11509686392,ns,duration_time,11509686392,100.00,,
54003808023,,cycles,11509395609,100.00,,
88386731279,,instructions,11509395609,100.00,1.64,insn per cycle
1198454238,,branch-misses,11509395609,100.00,,
288848,,LLC-load-misses,11509395609,100.00,,
8429,,LLC-store-misses,11509395609,100.00,,
11509900204,ns,duration_time,11509900204,100.00,,
